# Xi, RijLong, Xi, RijLat
1.512593636277310338e+02 4.134513557743447337e-02 1.512593636277310907e+02 -3.478469651769952554e-04
1.549486163991390981e+02 3.801686224553529198e-02 1.549486163991391265e+02 -1.971493676041233354e-03
1.586378691705471908e+02 3.627272073208012010e-02 1.586378691705471908e+02 -2.203675582839204842e-03
1.623271219419552551e+02 3.612989297442861791e-02 1.623271219419553120e+02 -1.885633694591415908e-03
1.660163747133633478e+02 3.603786254344882450e-02 1.660163747133633478e+02 -4.821745049408312622e-04
1.697056274847714121e+02 3.585385859359834643e-02 1.697056274847714121e+02 1.055937979638044795e-03
1.733948802561795048e+02 3.579397501262864684e-02 1.733948802561795333e+02 1.799830446601599762e-03
1.770841330275875407e+02 3.517986794338301415e-02 1.770841330275875691e+02 1.533106241266043177e-03
1.807733857989956334e+02 3.406015851318715953e-02 1.807733857989956334e+02 1.099843604565172751e-03
1.844626385704037261e+02 3.256623235401581024e-02 1.844626385704036693e+02 1.435323232837514744e-03
1.881518913418117620e+02 3.069278836166677155e-02 1.881518913418118188e+02 5.459729686785000802e-04
1.918411441132198263e+02 2.816131255788948892e-02 1.918411441132198547e+02 -1.078155213808439615e-03
1.955303968846279474e+02 2.521104419131300553e-02 1.955303968846279190e+02 -1.851531812880674891e-03
1.992196496560360117e+02 2.290932087886424218e-02 1.992196496560360686e+02 -2.168758466141029653e-03
2.029089024274440760e+02 2.183402077259736368e-02 2.029089024274440760e+02 -1.954618605654496587e-03
2.065981551988521403e+02 2.074014094763129354e-02 2.065981551988521403e+02 -1.056330926745934623e-03
2.102874079702602046e+02 2.032904528979747119e-02 2.102874079702602614e+02 -1.984998076545731530e-03
2.139766607416683257e+02 2.142605970214284464e-02 2.139766607416683257e+02 -1.852774295604596314e-03
2.176659135130763900e+02 2.248282923481418477e-02 2.176659135130763900e+02 1.699047342986786512e-03
2.213551662844844543e+02 2.203804045912916357e-02 2.213551662844844259e+02 4.310566057355461576e-03
2.250444190558925186e+02 2.100278745426446478e-02 2.250444190558925470e+02 4.237993623581149186e-03
2.287336718273006113e+02 2.072687223701834627e-02 2.287336718273006113e+02 4.912125773420926954e-03
2.324229245987086756e+02 2.065175891595915844e-02 2.324229245987086472e+02 6.213464636278582046e-03
2.361121773701167399e+02 1.984557860103066534e-02 2.361121773701167967e+02 5.996307372332785462e-03
2.398014301415248042e+02 1.745170992907380328e-02 2.398014301415248326e+02 5.481980507798137753e-03
2.434906829129328685e+02 1.434417279174829418e-02 2.434906829129328685e+02 4.594665455024573089e-03
2.471799356843409896e+02 1.242981201967708477e-02 2.471799356843410180e+02 2.809237049313858571e-03
2.508691884557490539e+02 1.201619659200589031e-02 2.508691884557490823e+02 1.640298125146749837e-03
2.545584412271571182e+02 1.155215399497243854e-02 2.545584412271571182e+02 5.998096308994405219e-04
2.582476939985651825e+02 1.006393172727595639e-02 2.582476939985652393e+02 -1.664521098665663066e-03
2.619369467699733036e+02 9.208664884150837698e-03 2.619369467699733036e+02 -3.381602849148319413e-03
2.656261995413813679e+02 8.979851002111058356e-03 2.656261995413813679e+02 -2.352031950872370079e-03
2.693154523127894322e+02 8.477904469251156677e-03 2.693154523127893754e+02 7.742264141793682214e-05
2.730047050841974965e+02 8.170905201179049990e-03 2.730047050841974965e+02 1.252370687498504135e-03
2.766939578556055608e+02 8.267424454181911478e-03 2.766939578556055608e+02 4.686539508788242748e-04
2.803832106270136251e+02 8.717741568874205760e-03 2.803832106270136251e+02 -6.757581086129370480e-04
2.840724633984216894e+02 9.335885649411301140e-03 2.840724633984217462e+02 -1.147102048555778643e-03
2.877617161698297537e+02 9.151735309718474209e-03 2.877617161698298105e+02 -2.303446931118055714e-03
2.914509689412378179e+02 8.451679407288168605e-03 2.914509689412378748e+02 -4.119312779823050726e-03
2.951402217126459391e+02 8.220424688559546667e-03 2.951402217126459391e+02 -5.159521341825931522e-03
2.988294744840540034e+02 8.220058598472267108e-03 2.988294744840540034e+02 -3.926126748662271335e-03
3.025187272554620677e+02 8.570773144167423072e-03 3.025187272554620677e+02 -2.792983452479732252e-03
3.062079800268701320e+02 8.798581572089743397e-03 3.062079800268701888e+02 -3.586969193826518819e-03
3.098972327982781962e+02 8.654533647920297987e-03 3.098972327982782531e+02 -3.285644966720973129e-03
