# z, veer
2.075000000000000000e+02 2.283736483672293502e+02
2.100000000000000000e+02 2.284215979542113928e+02
2.125000000000000000e+02 2.284695278882958576e+02
2.150000000000000000e+02 2.285172265630719153e+02
2.175000000000000000e+02 2.285644323380952869e+02
2.200000000000000000e+02 2.286100989587153833e+02
2.225000000000000000e+02 2.286538230304838066e+02
2.250000000000000000e+02 2.286963066358883623e+02
2.275000000000000000e+02 2.287381760846995462e+02
2.300000000000000000e+02 2.287797734603196318e+02
2.325000000000000000e+02 2.288216031026331621e+02
2.350000000000000000e+02 2.288638950338136340e+02
2.375000000000000000e+02 2.289066872232367587e+02
2.400000000000000000e+02 2.289498109245770934e+02
2.425000000000000000e+02 2.289935121838045404e+02
2.450000000000000000e+02 2.290378029605958545e+02
2.475000000000000000e+02 2.290824326147122463e+02
2.500000000000000000e+02 2.291277283289544471e+02
2.525000000000000000e+02 2.291736622095380937e+02
2.550000000000000000e+02 2.292198093482770673e+02
2.575000000000000000e+02 2.292657656839939477e+02
2.600000000000000000e+02 2.293111839766301330e+02
2.625000000000000000e+02 2.293556109289648930e+02
2.650000000000000000e+02 2.293988890097440390e+02
2.675000000000000000e+02 2.294417103733908903e+02
2.700000000000000000e+02 2.294845746772764414e+02
2.725000000000000000e+02 2.295274673193130468e+02
2.750000000000000000e+02 2.295706551837008931e+02
2.775000000000000000e+02 2.296143275721894099e+02
2.800000000000000000e+02 2.296585261583166755e+02
2.825000000000000000e+02 2.297032470852380754e+02
2.850000000000000000e+02 2.297484024835103469e+02
2.875000000000000000e+02 2.297936335694655554e+02
2.900000000000000000e+02 2.298386948424787306e+02
2.925000000000000000e+02 2.298840725078914602e+02
2.950000000000000000e+02 2.299299104098164435e+02
2.975000000000000000e+02 2.299755987638602335e+02
3.000000000000000000e+02 2.300211481320694134e+02
3.025000000000000000e+02 2.300666665402666240e+02
3.050000000000000000e+02 2.301119631374188828e+02
3.075000000000000000e+02 2.301566827316944739e+02
3.100000000000000000e+02 2.302005476819811634e+02
3.125000000000000000e+02 2.302441788368420532e+02
3.150000000000000000e+02 2.302880561392916263e+02
3.175000000000000000e+02 2.303320834035949360e+02
3.200000000000000000e+02 2.303758998235376225e+02
3.225000000000000000e+02 2.304195963869011621e+02
3.250000000000000000e+02 2.304634158969889484e+02
3.275000000000000000e+02 2.305075193318823494e+02
3.300000000000000000e+02 2.305516225511441348e+02
3.325000000000000000e+02 2.305950349636050873e+02
3.350000000000000000e+02 2.306372562376941744e+02
3.375000000000000000e+02 2.306787663670495476e+02
