# z, u, v, w, u_mag
9.250000000000000000e+01 3.943382237225743214e+00 3.786521261900120727e+00 2.806146464291811204e-08 5.466992476278816682e+00
9.500000000000000000e+01 3.954289993885988341e+00 3.791659163211134054e+00 -3.611815862560586604e-08 5.478420261873838015e+00
9.750000000000000000e+01 3.965183096810350083e+00 3.796757117427622674e+00 2.549967482772918022e-07 5.489812528672349146e+00
1.000000000000000000e+02 3.976110791918505694e+00 3.801870968499781345e+00 -1.332287263302334433e-07 5.501243485861381899e+00
1.025000000000000000e+02 3.987130110732231891e+00 3.807032254865351018e+00 -3.898668792379633094e-07 5.512776170813842747e+00
1.050000000000000000e+02 3.998163694340355345e+00 3.812053734423251239e+00 -3.628984101825592672e-07 5.524225429946872268e+00
1.075000000000000000e+02 4.009146000569410617e+00 3.816792467624365415e+00 9.038401249381109048e-08 5.535445455859519193e+00
1.100000000000000000e+02 4.020128435815845336e+00 3.821357264667097464e+00 1.554085691055272395e-07 5.546548835508363418e+00
1.125000000000000000e+02 4.031076544598332312e+00 3.825859580594615394e+00 1.806022598065697115e-07 5.557587573654459767e+00
1.150000000000000000e+02 4.041972292101756459e+00 3.830261293945302015e+00 -1.859022768686585864e-07 5.568522388391188294e+00
1.175000000000000000e+02 4.052902018381751681e+00 3.834496929265626353e+00 1.781255948655399812e-07 5.579371064120975277e+00
1.200000000000000000e+02 4.063928321459236770e+00 3.838570555907132142e+00 -2.600964815854238036e-07 5.590182225530376137e+00
1.225000000000000000e+02 4.075025525141890981e+00 3.842552207354685390e+00 4.691188970526605979e-07 5.600985671897807272e+00
1.250000000000000000e+02 4.086072635018816790e+00 3.846439603088748882e+00 -2.118284801873309284e-08 5.611692008553137434e+00
1.275000000000000000e+02 4.097068715666220662e+00 3.850192142183634036e+00 1.414657892721949441e-07 5.622272813784784162e+00
1.300000000000000000e+02 4.108068369161054889e+00 3.853836882303316003e+00 -2.232843185863896249e-07 5.632786560939706533e+00
1.325000000000000000e+02 4.119002659212651629e+00 3.857402184375799514e+00 1.037597715462492585e-07 5.643202505548431169e+00
1.350000000000000000e+02 4.129824928596038447e+00 3.860864306349719666e+00 -4.242408233365553729e-07 5.653470361901506536e+00
1.375000000000000000e+02 4.140625726607621182e+00 3.864232737374373450e+00 1.265465612845861401e-08 5.663662777429526507e+00
