# z, Alpha
3.975000000000000000e+02 5.533677788007354548e-02
4.000000000000000000e+02 5.375873776326645093e-02
4.025000000000000000e+02 5.420976842317893479e-02
4.050000000000000000e+02 5.259537355129689784e-02
4.075000000000000000e+02 5.211209233354682085e-02
4.100000000000000000e+02 4.858661712212586359e-02
4.125000000000000000e+02 4.877106029134549436e-02
4.150000000000000000e+02 4.724118844485757085e-02
4.175000000000000000e+02 4.869092028423949170e-02
4.200000000000000000e+02 4.587053430541562782e-02
4.225000000000000000e+02 4.861668309204016103e-02
4.250000000000000000e+02 4.463472575084095895e-02
4.275000000000000000e+02 4.679584667430159578e-02
4.300000000000000000e+02 4.059806913021885705e-02
4.325000000000000000e+02 4.318364110337837014e-02
4.350000000000000000e+02 3.650085356614766324e-02
4.375000000000000000e+02 4.045555360170306758e-02
4.400000000000000000e+02 3.196806696937694314e-02
4.425000000000000000e+02 3.647594252062548448e-02
4.450000000000000000e+02 2.574838761256464589e-02
4.475000000000000000e+02 3.131337351514562606e-02
4.500000000000000000e+02 1.864061307109350640e-02
4.525000000000000000e+02 2.643641254180947517e-02
4.550000000000000000e+02 1.237479666612311367e-02
4.575000000000000000e+02 2.416836783389218410e-02
4.600000000000000000e+02 9.431102324230168990e-03
4.625000000000000000e+02 2.545405590231248835e-02
4.650000000000000000e+02 8.272796394150985083e-03
4.675000000000000000e+02 2.650159758598079687e-02
4.700000000000000000e+02 7.081134800691391874e-03
4.725000000000000000e+02 2.735305104697997869e-02
4.750000000000000000e+02 3.338469566151765818e-03
4.775000000000000000e+02 2.654609363267769473e-02
4.800000000000000000e+02 -1.635898366893799626e-03
4.825000000000000000e+02 2.570363036119492281e-02
4.850000000000000000e+02 -8.127356070031000607e-03
4.875000000000000000e+02 2.462684549019480626e-02
4.900000000000000000e+02 -1.672280416209604575e-02
4.925000000000000000e+02 2.354450910593955046e-02
4.950000000000000000e+02 -2.589148811338497919e-02
4.975000000000000000e+02 2.563255490441269241e-02
5.000000000000000000e+02 -3.382095174573190172e-02
5.025000000000000000e+02 3.032373958372198974e-02
5.050000000000000000e+02 -4.199698372000833235e-02
