time z u v w u_mag
2.000000000000000000e+03 5.500000000000000000e+01 3.663291609248038760e+00 3.626521935822388354e+00 -3.042533880156585648e-06 5.154742162843580111e+00
2.000000000000000000e+03 5.750000000000000000e+01 3.669780768374115709e+00 3.630890273299694826e+00 1.712827201697451405e-06 5.162427245460587066e+00
2.000000000000000000e+03 6.000000000000000000e+01 3.676835837162523823e+00 3.635661306586015940e+00 1.699605354868690036e-06 5.170798285531187588e+00
2.000000000000000000e+03 6.250000000000000000e+01 3.683855347239933575e+00 3.640923189397577087e+00 -1.581207862121570916e-07 5.179489539566741740e+00
2.000000000000000000e+03 6.500000000000000000e+01 3.690909745105469320e+00 3.646490179773149709e+00 -2.709132862523587400e-07 5.188420316213463224e+00
2.000000000000000000e+03 6.750000000000000000e+01 3.697737390541888658e+00 3.652175868942120651e+00 -2.293537855484894529e-06 5.197273360821030863e+00
2.000000000000000000e+03 7.000000000000000000e+01 3.703823439510431026e+00 3.657553758206685490e+00 1.919314071790583597e-06 5.205382557050193704e+00
2.000000000000000000e+03 7.250000000000000000e+01 3.708963555241195476e+00 3.662200769039102966e+00 -3.219540900223767865e-06 5.212305164403593594e+00
2.000000000000000000e+03 7.500000000000000000e+01 3.713392239092856428e+00 3.666130705714356175e+00 1.283547643107129129e-06 5.218217729525891357e+00
2.000000000000000000e+03 7.750000000000000000e+01 3.717324474091981745e+00 3.669593405873730951e+00 -4.109884135451474461e-06 5.223448765914344705e+00
2.000000000000000000e+03 8.000000000000000000e+01 3.721114139262353238e+00 3.672430943978690188e+00 1.600127456555794861e-06 5.228139198195949078e+00
2.000000000000000000e+03 8.250000000000000000e+01 3.725172473565395936e+00 3.674945241005418861e+00 -2.417032164296664502e-06 5.232793946086884418e+00
2.000000000000000000e+03 8.500000000000000000e+01 3.729301414459321506e+00 3.677214787452548705e+00 2.685269821202480734e-06 5.237327336815525314e+00
2.000000000000000000e+03 8.750000000000000000e+01 3.733315003172370972e+00 3.679282934997324173e+00 -3.154382193221128454e-06 5.241637514048868240e+00
2.000000000000000000e+03 9.000000000000000000e+01 3.737096036012093059e+00 3.681252586579581543e+00 2.961355060675552996e-06 5.245713239263553263e+00
2.000000000000000000e+03 9.250000000000000000e+01 3.740518400789916154e+00 3.682905044610386813e+00 -3.571925266136242725e-06 5.249311142833633426e+00
2.000000000000000000e+03 9.500000000000000000e+01 3.743805203390545344e+00 3.684492158902485937e+00 2.854180106686029950e-06 5.252766877556643621e+00
2.000000000000000000e+03 9.750000000000000000e+01 3.747183211151511539e+00 3.686246436257354375e+00 -2.774357405725171620e-06 5.256405122016709619e+00
2.000000000000000000e+03 1.000000000000000000e+02 3.750660202469576543e+00 3.688297445922334106e+00 3.153921677078847077e-06 5.260322233855668550e+00
2.000000000000000000e+03 1.025000000000000000e+02 3.753925091591620244e+00 3.690441481087755715e+00 -2.884898246448792249e-06 5.264153485473487493e+00
2.000000000000000000e+03 1.050000000000000000e+02 3.757062201583399652e+00 3.692605916750400397e+00 1.972238415005509583e-06 5.267908013907480758e+00
