# Xi, RijLong, Xi, RijLat
2.969848480983499712e+02 6.741317378845165798e-02 2.969848480983499712e+02 -1.935666258017440175e-02
3.111269837220809222e+02 6.372273933925148848e-02 3.111269837220809222e+02 -8.110225868782953984e-03
3.252691193458118732e+02 6.042710473003258531e-02 3.252691193458118732e+02 1.314122285928706960e-02
3.394112549695428243e+02 5.813474282933627640e-02 3.394112549695428243e+02 2.197271192197495712e-02
3.535533905932737753e+02 5.686707043708582460e-02 3.535533905932737753e+02 1.730622739591843387e-02
3.676955262170047263e+02 5.584316612587656575e-02 3.676955262170047263e+02 1.575304538544428090e-02
3.818376618407356773e+02 5.449381346084814642e-02 3.818376618407356773e+02 -2.023619791719456426e-03
3.959797974644666283e+02 5.325505791161845581e-02 3.959797974644666283e+02 -1.451817404230758626e-02
4.101219330881975793e+02 5.234092341705275792e-02 4.101219330881975793e+02 -2.067591277066973404e-02
4.242640687119285303e+02 5.113308724407344963e-02 4.242640687119285303e+02 -1.834766446457359798e-02
4.384062043356594813e+02 4.953390780715734298e-02 4.384062043356594813e+02 -1.713662401581178898e-02
4.525483399593904323e+02 4.826320955628777415e-02 4.525483399593904323e+02 -5.362058124371984341e-03
4.666904755831213834e+02 4.793131143919800163e-02 4.666904755831213834e+02 8.425596965591161322e-03
4.808326112068523344e+02 4.840984463479857530e-02 4.808326112068523344e+02 9.877097895879269687e-04
4.949747468305832854e+02 4.872140378825674800e-02 4.949747468305832854e+02 2.365766634777499277e-03
5.091168824543142364e+02 4.729459324358663286e-02 5.091168824543142364e+02 1.084765484090835681e-02
5.232590180780451874e+02 4.340470807792846941e-02 5.232590180780451874e+02 7.737558593737804864e-03
5.374011537017761384e+02 3.781934799543845704e-02 5.374011537017761384e+02 2.826102438461857574e-03
5.515432893255070894e+02 3.202011425971402342e-02 5.515432893255070894e+02 9.520439441160688174e-03
5.656854249492380404e+02 2.745020486291719838e-02 5.656854249492380404e+02 -3.483484003541331524e-03
5.798275605729689914e+02 2.462892525434404178e-02 5.798275605729689914e+02 -1.740061889474836185e-02
5.939696961966999424e+02 2.302190816541388810e-02 5.939696961966999424e+02 -1.101492737944759562e-02
6.081118318204308935e+02 2.167035964766145240e-02 6.081118318204308935e+02 -7.630184039353276639e-03
6.222539674441618445e+02 2.013089273473704990e-02 6.222539674441618445e+02 2.237639962850159446e-03
6.363961030678927955e+02 1.848381753661619900e-02 6.363961030678927955e+02 9.971052837555369891e-03
6.505382386916237465e+02 1.700491097830203122e-02 6.505382386916237465e+02 8.613258895495008380e-03
