 z uu uv uw vv vw ww tke
2.625000000000000000e+02 1.276178746566429024e-02 3.158595941160902403e-04 -3.186794524505899388e-03 8.568827785551085333e-03 5.637803268234823934e-04 5.334654654639509573e-03 1.333263495292744301e-02
2.650000000000000000e+02 1.264917789682270741e-02 2.933569871749570554e-04 -3.160291878062474261e-03 8.443011111931580590e-03 5.660215050032144785e-04 5.296711959424276958e-03 1.319445048408928248e-02
2.675000000000000000e+02 1.254069820167851880e-02 2.508355097476710821e-04 -3.133635796726148663e-03 8.332744638786011501e-03 5.680918765451849119e-04 5.259967692260417334e-03 1.306670526636247338e-02
2.700000000000000000e+02 1.241462002983078315e-02 1.925061616948161225e-04 -3.106981237779709096e-03 8.238169387020918832e-03 5.704561298952490721e-04 5.225172462377705718e-03 1.293898093961470472e-02
2.725000000000000000e+02 1.225781884146692931e-02 1.310045348445045899e-04 -3.079526510019117615e-03 8.163652030997396031e-03 5.731930644123515908e-04 5.192726956213643795e-03 1.280709891433898587e-02
2.750000000000000000e+02 1.210958998760620735e-02 9.907112149728707171e-05 -3.051010946183579670e-03 8.110515279738182703e-03 5.758871698014697300e-04 5.160903635177501413e-03 1.269050445126094703e-02
2.775000000000000000e+02 1.199571280600208664e-02 1.037711208341448747e-04 -3.022116952496478430e-03 8.055735475020031622e-03 5.783910074542809388e-04 5.127536362499097826e-03 1.258949232176060848e-02
2.800000000000000000e+02 1.191164346792827552e-02 1.134600817819103873e-04 -2.993016598573401167e-03 7.988665406943271444e-03 5.810635776113655740e-04 5.092316077786960410e-03 1.249631247632925456e-02
2.825000000000000000e+02 1.183251673284715054e-02 1.000703079728157972e-04 -2.964048769734459274e-03 7.916375111973295020e-03 5.836309336348707161e-04 5.055443629412275514e-03 1.240216773711636140e-02
2.850000000000000000e+02 1.173512903288104203e-02 6.887893718324153436e-05 -2.935195283923929324e-03 7.837037478083360917e-03 5.857805985892061348e-04 5.016112757813064559e-03 1.229413963438873506e-02
2.875000000000000000e+02 1.161189101045749343e-02 3.747697377480587859e-05 -2.906084664468322563e-03 7.743735068960968734e-03 5.879447820392115671e-04 4.973446458761939318e-03 1.216453626909020161e-02
2.900000000000000000e+02 1.144785814209188513e-02 5.947492725974790073e-06 -2.876220323868152861e-03 7.626300195260914128e-03 5.906929846474273703e-04 4.927492404826954407e-03 1.200082537108987726e-02
2.925000000000000000e+02 1.125376083031524692e-02 -3.330582628951450608e-05 -2.845098635575272865e-03 7.484878092322104319e-03 5.942961493193474852e-04 4.879131135493416059e-03 1.180888502906538365e-02
2.950000000000000000e+02 1.106828296034246227e-02 -7.472373824669098833e-05 -2.814261602965296375e-03 7.344567141617980993e-03 5.982557294289550737e-04 4.828831198102376959e-03 1.162084065003140924e-02
2.975000000000000000e+02 1.090636081589256567e-02 -1.126683853419958604e-04 -2.783698256415135901e-03 7.225869244906570933e-03 6.023196407703028431e-04 4.775421891517712264e-03 1.145382597615842400e-02
3.000000000000000000e+02 1.075588596789159128e-02 -1.419137985391362314e-04 -2.753165635784361916e-03 7.128535016858918855e-03 6.061082705405459710e-04 4.719023250681719447e-03 1.130172211771611479e-02
3.025000000000000000e+02 1.060876528017837099e-02 -1.608753401410114062e-04 -2.722023793094159854e-03 7.040278405847265157e-03 6.097997517164894642e-04 4.660835732393203701e-03 1.115493970920941949e-02
3.050000000000000000e+02 1.047446736846200169e-02 -1.714409600491140987e-04 -2.690056810398551348e-03 6.961764533778163656e-03 6.139178276140263126e-04 4.603017436945833728e-03 1.101962466959299954e-02
3.075000000000000000e+02 1.035278470075584774e-02 -1.734374072664619825e-04 -2.657653624799648055e-03 6.903210654603921317e-03 6.178658095903593727e-04 4.546700995021483484e-03 1.090134817519062584e-02
3.100000000000000000e+02 1.023917856778023237e-02 -1.683611116537999579e-04 -2.625054069165423318e-03 6.852897859630073009e-03 6.210284978930867084e-04 4.491501084059903309e-03 1.079178875573510478e-02
3.125000000000000000e+02 1.014333280071730639e-02 -1.624396506315392130e-04 -2.592254832171328374e-03 6.795554289784202368e-03 6.235122343522012762e-04 4.437565358557464187e-03 1.068822622452948734e-02
3.150000000000000000e+02 1.005620523636644413e-02 -1.651869368246314880e-04 -2.558821931506913457e-03 6.721110341104961743e-03 6.254966673855914686e-04 4.385858138523900975e-03 1.058158685799765256e-02
3.175000000000000000e+02 9.951554132340351827e-03 -1.876856108359209777e-04 -2.524558255686749214e-03 6.627088478486386526e-03 6.271272254768656953e-04 4.336744124779933797e-03 1.045769336780333521e-02
3.200000000000000000e+02 9.830948745422934260e-03 -2.287251021393963497e-04 -2.489388176551623946e-03 6.523052890912617655e-03 6.283211926467100437e-04 4.289595775944034066e-03 1.032179870613979429e-02
3.225000000000000000e+02 9.703940192815382892e-03 -2.697323273864722193e-04 -2.453178603755085726e-03 6.419854580928709663e-03 6.291150119824397494e-04 4.243944311669167399e-03 1.018386954270663128e-02
3.250000000000000000e+02 9.570474745039300041e-03 -2.940843787463798113e-04 -2.415969279716356430e-03 6.323867445806259473e-03 6.293042646153458207e-04 4.199345958263108781e-03 1.004684407455433415e-02
3.275000000000000000e+02 9.434282539286164768e-03 -2.978885310856929517e-04 -2.378208977204837593e-03 6.236073574674862348e-03 6.284839699971249329e-04 4.154070020377651981e-03 9.912213067169339115e-03
3.300000000000000000e+02 9.308297862207874640e-03 -2.892615899544098896e-04 -2.339757064787342192e-03 6.145241736352909274e-03 6.266925304864946668e-04 4.106510498817416907e-03 9.780025048689099110e-03
3.325000000000000000e+02 9.198046469708648365e-03 -2.803331049490617711e-04 -2.301091748584645560e-03 6.046492674798190081e-03 6.237835136550030132e-04 4.055869175575782352e-03 9.650204160041310833e-03
3.350000000000000000e+02 9.093928462631342344e-03 -2.729927266345247988e-04 -2.262559871525770313e-03 5.945729140691980059e-03 6.199090062739684090e-04 4.002693593985917619e-03 9.521175598654620445e-03
3.375000000000000000e+02 8.972644588841735894e-03 -2.605657803432476845e-04 -2.223681514476231937e-03 5.842223246327282044e-03 6.155018965890679235e-04 3.947728925330995162e-03 9.381298380250006549e-03
3.400000000000000000e+02 8.826606574804267413e-03 -2.419714150890708675e-04 -2.184674456401138835e-03 5.727163876105478488e-03 6.104378575713561824e-04 3.891782482108045206e-03 9.222776466508895987e-03
3.425000000000000000e+02 8.669210646899542724e-03 -2.209405847040674261e-04 -2.146429101258091800e-03 5.607044104608762021e-03 6.049564608955961291e-04 3.833592573804150277e-03 9.054923662656227945e-03
3.450000000000000000e+02 8.506756569081636715e-03 -1.989173610836905692e-04 -2.108943400691651142e-03 5.497419652564071273e-03 5.990123036429533410e-04 3.772386433449393967e-03 8.888281327547551194e-03
3.475000000000000000e+02 8.337853139570335428e-03 -1.834242039356848110e-04 -2.071503415224114353e-03 5.399581995988319248e-03 5.930242457425968913e-04 3.708571462551374723e-03 8.723003299055013399e-03
3.500000000000000000e+02 8.165540874126403850e-03 -1.732698403843731044e-04 -2.033398007666256148e-03 5.307262431670125083e-03 5.869931186360780213e-04 3.643014928607161626e-03 8.557909117201844412e-03
3.525000000000000000e+02 7.996203835248572034e-03 -1.587385951139196885e-04 -1.994351212121945119e-03 5.221445928712975353e-03 5.809967578453194498e-04 3.575643338276556383e-03 8.396646551119052101e-03
