 z veer
4.375000000000000000e+02 2.379786461610135575e+02
4.400000000000000000e+02 2.380021375341581802e+02
4.425000000000000000e+02 2.380253296302928732e+02
4.450000000000000000e+02 2.380478475245217282e+02
4.475000000000000000e+02 2.380701112512515181e+02
4.500000000000000000e+02 2.380916560823925181e+02
4.525000000000000000e+02 2.381128210458056174e+02
4.550000000000000000e+02 2.381334878395004182e+02
4.575000000000000000e+02 2.381539162384099200e+02
4.600000000000000000e+02 2.381737990531276523e+02
4.625000000000000000e+02 2.381932656125134713e+02
4.650000000000000000e+02 2.382117368813581493e+02
4.675000000000000000e+02 2.382298207763318203e+02
4.700000000000000000e+02 2.382476764604987238e+02
4.725000000000000000e+02 2.382656122545412245e+02
4.750000000000000000e+02 2.382835564367380528e+02
4.775000000000000000e+02 2.383011664694953140e+02
4.800000000000000000e+02 2.383184055775073205e+02
4.825000000000000000e+02 2.383346978561124274e+02
4.850000000000000000e+02 2.383508031333725796e+02
4.875000000000000000e+02 2.383655151989368051e+02
4.900000000000000000e+02 2.383807364896957495e+02
4.925000000000000000e+02 2.383938064348575381e+02
4.950000000000000000e+02 2.384082808357564431e+02
4.975000000000000000e+02 2.384194000346976452e+02
5.000000000000000000e+02 2.384334100343313594e+02
5.025000000000000000e+02 2.384422925174927173e+02
5.050000000000000000e+02 2.384561695279720936e+02
5.075000000000000000e+02 2.384618082519102131e+02
5.100000000000000000e+02 2.384762699204785008e+02
5.125000000000000000e+02 2.384778692776852722e+02
5.150000000000000000e+02 2.384938338879503021e+02
5.175000000000000000e+02 2.384898383708286644e+02
5.200000000000000000e+02 2.385088719170209686e+02
5.225000000000000000e+02 2.384977732283915941e+02
5.250000000000000000e+02 2.385221010322004247e+02
5.275000000000000000e+02 2.385018620687723399e+02
5.300000000000000000e+02 2.385342007931233468e+02
5.325000000000000000e+02 2.385025084681274166e+02
5.350000000000000000e+02 2.385460580152465297e+02
5.375000000000000000e+02 2.385002706424882035e+02
5.400000000000000000e+02 2.385583086740063266e+02
5.425000000000000000e+02 2.384958472770331923e+02
5.450000000000000000e+02 2.385711154354391113e+02
5.475000000000000000e+02 2.384899659362059197e+02
5.500000000000000000e+02 2.385841246694524784e+02
5.525000000000000000e+02 2.384832211687611334e+02
5.550000000000000000e+02 2.385965435884580472e+02
5.575000000000000000e+02 2.384762457135193756e+02
5.600000000000000000e+02 2.386076260534241555e+02
5.625000000000000000e+02 2.384697176065827762e+02
5.650000000000000000e+02 2.386169451992009272e+02
5.675000000000000000e+02 2.384640768357764955e+02
5.700000000000000000e+02 2.386245977677218093e+02
5.725000000000000000e+02 2.384594002084751594e+02
5.750000000000000000e+02 2.386308119333423576e+02
5.775000000000000000e+02 2.384553997342272567e+02
5.800000000000000000e+02 2.386358473724448857e+02
5.825000000000000000e+02 2.384517824318873522e+02
5.850000000000000000e+02 2.386401456429484540e+02
5.875000000000000000e+02 2.384483829209456474e+02
5.900000000000000000e+02 2.386440888118232238e+02
5.925000000000000000e+02 2.384450226211860695e+02
5.950000000000000000e+02 2.386478701314630086e+02
5.975000000000000000e+02 2.384416139515686268e+02
6.000000000000000000e+02 2.386515980684060878e+02
6.025000000000000000e+02 2.384381385800869282e+02
6.050000000000000000e+02 2.386553358549467703e+02
6.075000000000000000e+02 2.384345907766451660e+02
