 z Alpha
1.725000000000000000e+02 9.984247888228425793e-02
1.750000000000000000e+02 9.880090332753652116e-02
1.775000000000000000e+02 9.740225329105089980e-02
1.800000000000000000e+02 9.578890386894260700e-02
1.825000000000000000e+02 9.306830762161724668e-02
1.850000000000000000e+02 9.002907038941448947e-02
1.875000000000000000e+02 8.806370547251177183e-02
1.900000000000000000e+02 8.699127232711645341e-02
1.925000000000000000e+02 8.591547751641510910e-02
1.950000000000000000e+02 8.506237841715391657e-02
1.975000000000000000e+02 8.435674317918463727e-02
2.000000000000000000e+02 8.250206264803511269e-02
2.025000000000000000e+02 8.008590667541334862e-02
2.050000000000000000e+02 7.707682350880722122e-02
2.075000000000000000e+02 7.472205359980085837e-02
2.100000000000000000e+02 7.404575992624208569e-02
2.125000000000000000e+02 7.394240518507447235e-02
2.150000000000000000e+02 7.329244501635326370e-02
2.175000000000000000e+02 7.134058744665162932e-02
2.200000000000000000e+02 6.997054726005069725e-02
2.225000000000000000e+02 7.005633646112384427e-02
2.250000000000000000e+02 7.036543191361935290e-02
2.275000000000000000e+02 6.959629514982286491e-02
2.300000000000000000e+02 6.849869328871169283e-02
2.325000000000000000e+02 6.859380519871134674e-02
2.350000000000000000e+02 6.878537034716136755e-02
2.375000000000000000e+02 6.774678548951308665e-02
2.400000000000000000e+02 6.598513282729867591e-02
2.425000000000000000e+02 6.425709164455645217e-02
2.450000000000000000e+02 6.270023981855472883e-02
2.475000000000000000e+02 6.171637668190439047e-02
2.500000000000000000e+02 6.103487435061473454e-02
2.525000000000000000e+02 6.062486952543554714e-02
2.550000000000000000e+02 6.002779726461968807e-02
2.575000000000000000e+02 5.933639470167915292e-02
2.600000000000000000e+02 5.839732349537821166e-02
2.625000000000000000e+02 5.802637199418263225e-02
2.650000000000000000e+02 5.849096397051727764e-02
2.675000000000000000e+02 5.894895355276409676e-02
2.700000000000000000e+02 5.957174782601257906e-02
2.725000000000000000e+02 6.015060519192914901e-02
2.750000000000000000e+02 6.058805397627978900e-02
2.775000000000000000e+02 6.034839895348169392e-02
2.800000000000000000e+02 5.941034851972101793e-02
2.825000000000000000e+02 5.777648890212200294e-02
2.850000000000000000e+02 5.485784431126363575e-02
2.875000000000000000e+02 5.107395803688986879e-02
2.900000000000000000e+02 4.876589267488769947e-02
2.925000000000000000e+02 4.808485796019384972e-02
2.950000000000000000e+02 4.822923100320367779e-02
2.975000000000000000e+02 4.792841513076930710e-02
3.000000000000000000e+02 4.684976137596756629e-02
3.025000000000000000e+02 4.765077201442628058e-02
3.050000000000000000e+02 5.034369253303918462e-02
3.075000000000000000e+02 5.243074404890214757e-02
3.100000000000000000e+02 5.252824473750013906e-02
3.125000000000000000e+02 5.187955601618907120e-02
3.150000000000000000e+02 5.157215767915884069e-02
3.175000000000000000e+02 5.091231572082173529e-02
3.200000000000000000e+02 5.045829776243249132e-02
3.225000000000000000e+02 5.078782484054243651e-02
3.250000000000000000e+02 5.089943036897021100e-02
3.275000000000000000e+02 5.073466305546432686e-02
3.300000000000000000e+02 4.960470407710815266e-02
3.325000000000000000e+02 4.672021316932482848e-02
3.350000000000000000e+02 4.444567602173935678e-02
3.375000000000000000e+02 4.342613585769271312e-02
3.400000000000000000e+02 4.233403352712033357e-02
3.425000000000000000e+02 4.097538011016532700e-02
3.450000000000000000e+02 3.890704047274546468e-02
3.475000000000000000e+02 3.698613973270586247e-02
3.500000000000000000e+02 3.632907494101114687e-02
3.525000000000000000e+02 3.719878633811141838e-02
3.550000000000000000e+02 3.956556343465890413e-02
3.575000000000000000e+02 4.163683050495250310e-02
3.600000000000000000e+02 4.250485550763218739e-02
3.625000000000000000e+02 4.415827205896348528e-02
3.650000000000000000e+02 4.598916331234651628e-02
3.675000000000000000e+02 4.527697871507516819e-02
3.700000000000000000e+02 4.254963343175500318e-02
3.725000000000000000e+02 4.079084430069460782e-02
3.750000000000000000e+02 4.016770105334642460e-02
3.775000000000000000e+02 4.037185291799246650e-02
3.800000000000000000e+02 4.179069933560673744e-02
3.825000000000000000e+02 4.426032031326226912e-02
3.850000000000000000e+02 4.667180394845937136e-02
