# f, Suu, Svv, Sww
1.333333333333333419e-02 2.572895133864780970e+00 2.282195557507221972e-01 8.401212044736068585e-02
1.363636363636363570e-02 2.394926368899714664e+00 2.292205302420281809e-01 8.508966399546184778e-02
1.393939393939393895e-02 2.690181713752617831e+00 2.030436771445120470e-01 8.205796049276689597e-02
1.424242424242424220e-02 3.032984655493081494e+00 2.514038373695818285e-01 8.476623430211741028e-02
1.454545454545454544e-02 2.637310480058051354e+00 2.368969477349534003e-01 8.245826695575718401e-02
1.484848484848484869e-02 2.505302941428448005e+00 2.215065291380294288e-01 7.246715942857004378e-02
1.515151515151515194e-02 2.227234553927066596e+00 2.188534114107034967e-01 7.017700325951405083e-02
1.545454545454545518e-02 2.324265602083483540e+00 2.112922306215361257e-01 7.794140971041899069e-02
1.575757575757575843e-02 2.397065234961942348e+00 2.439295558770382677e-01 8.686735138836505776e-02
1.606060606060605994e-02 1.855635817855644687e+00 2.428547274364500907e-01 7.289277551612473316e-02
1.636363636363636492e-02 1.920803312410995778e+00 2.655655005676290648e-01 7.841165279784448328e-02
1.666666666666666644e-02 2.022985232874904948e+00 2.871644312979733105e-01 7.250938177289811826e-02
1.696969696969697142e-02 1.545847485324556070e+00 2.392830662265748587e-01 7.111418695005557178e-02
1.727272727272727293e-02 2.096679196928175948e+00 2.276132046194636604e-01 7.468194402922007091e-02
1.757575757575757444e-02 1.572652036239394535e+00 2.359860160344844360e-01 5.974728021707548936e-02
1.787878787878787942e-02 1.437254170718301083e+00 2.099271287409131270e-01 5.735847995442638902e-02
1.818181818181818094e-02 1.654489430565474040e+00 2.404920130794772348e-01 6.095798527321093230e-02
1.848484848484848592e-02 1.978911496093600286e+00 2.653565557984912116e-01 7.159479842555067919e-02
1.878787878787878743e-02 1.795764142946921327e+00 2.310689577119664773e-01 7.223908466731203404e-02
1.909090909090909241e-02 1.505079562634631163e+00 2.274233085632683116e-01 6.220737782390274584e-02
1.939393939393939392e-02 1.408329230215920491e+00 2.110946894917007655e-01 6.845973666728667750e-02
1.969696969696969543e-02 1.643611434868196941e+00 2.344416686871174660e-01 6.625496343391069909e-02
2.000000000000000042e-02 1.543208110400388300e+00 2.432855286148416785e-01 6.474039987956406450e-02
2.030303030303030193e-02 1.674337474797416903e+00 2.959681380392000238e-01 5.958436835148701177e-02
2.060606060606060691e-02 1.395451867168705951e+00 2.462143306340973392e-01 5.847244048818300149e-02
2.090909090909090842e-02 1.501618478114289612e+00 2.520289314633316069e-01 6.535337688166263648e-02
2.121212121212121340e-02 1.399113439616052501e+00 2.703993384171030079e-01 5.566458053417604190e-02
2.151515151515151492e-02 1.388967072995381358e+00 2.441746988659208029e-01 5.544473997674374127e-02
2.181818181818181990e-02 1.185724905847972854e+00 2.372441310026709715e-01 5.755908592317891120e-02
2.212121212121212141e-02 1.144869084319955155e+00 2.464759325380113386e-01 5.771973905078788686e-02
2.242424242424242292e-02 1.321275681482005915e+00 2.568039609003425761e-01 5.959644314936619197e-02
2.272727272727272790e-02 1.222016823378973216e+00 2.569591434833785049e-01 6.407118982300605281e-02
2.303030303030302942e-02 1.096206401830033927e+00 2.602305203122288746e-01 6.208899685108971306e-02
2.333333333333333440e-02 9.774843440449011434e-01 2.416579997905104193e-01 5.412409927588807818e-02
2.363636363636363591e-02 1.203680578891061170e+00 2.656092312152762980e-01 6.187059348805470232e-02
2.393939393939394089e-02 9.660885575526803049e-01 2.236076252860169367e-01 6.489952739797404113e-02
2.424242424242424240e-02 9.561112144897800924e-01 2.568021322297920905e-01 6.926652783356435084e-02
2.454545454545454392e-02 1.131289795053655123e+00 2.955450710989628860e-01 7.581774957134893023e-02
2.484848484848484890e-02 1.036722867927597491e+00 2.909861832296113393e-01 7.917297415375970648e-02
2.515151515151515041e-02 1.092316417410826412e+00 2.922626037518161746e-01 7.470688805269351529e-02
2.545454545454545539e-02 9.766960345394800624e-01 2.666313849466531716e-01 5.648664705199932246e-02
2.575757575757575690e-02 9.891708809350666654e-01 2.395027226989769886e-01 4.917170106742228125e-02
2.606060606060606188e-02 9.179172330430530602e-01 2.168776375247493948e-01 5.764853525203698925e-02
2.636363636363636340e-02 8.566729528768745050e-01 2.429099393229971204e-01 6.708386311514129285e-02
2.666666666666666838e-02 8.076867936789765556e-01 2.732645930138095647e-01 6.240313996739457747e-02
2.696969696969696989e-02 7.313887355340540353e-01 2.829366155135755734e-01 6.231478094752650881e-02
2.727272727272727140e-02 7.479408243747599494e-01 2.486564360790301520e-01 6.070307139387733780e-02
2.757575757575757638e-02 7.693761379379463472e-01 2.422069737957437685e-01 6.090505301553619799e-02
2.787878787878787790e-02 7.170975256372975615e-01 2.382685643776017437e-01 5.693862661784124951e-02
2.818181818181818288e-02 7.385390010829339102e-01 2.090698940654928117e-01 4.747436294454085437e-02
2.848484848484848439e-02 6.540465424673156392e-01 2.279497058397555731e-01 4.056065583290639764e-02
2.878787878787878937e-02 8.166322700556361003e-01 2.966858351807302174e-01 5.145429599674541943e-02
2.909090909090909088e-02 6.438025537693201628e-01 2.474347778029673262e-01 5.112857251696359406e-02
2.939393939393939240e-02 7.064295745643385249e-01 2.273880353362051909e-01 5.473713229038191380e-02
2.969696969696969738e-02 6.001044998803323205e-01 2.325161247369499362e-01 4.926035562296769005e-02
2.999999999999999889e-02 6.209494397784711683e-01 2.599132577133187461e-01 5.145557372755500680e-02
3.030303030303030387e-02 7.047668806159166355e-01 2.505383815876038311e-01 5.581112181859712584e-02
3.060606060606060538e-02 7.261843709115528567e-01 2.431084327781214693e-01 5.072874095895468088e-02
3.090909090909091037e-02 6.319101194091978346e-01 2.436608120759872764e-01 4.634656818284636770e-02
3.121212121212121188e-02 5.961210355700656827e-01 2.519287352485891085e-01 5.028086269574365275e-02
3.151515151515151686e-02 5.618955180910992775e-01 2.197903269008369131e-01 5.287225061150717387e-02
3.181818181818181490e-02 5.405657553807088345e-01 2.099773606932757719e-01 5.176880938304017493e-02
3.212121212121211988e-02 5.130385540983809500e-01 2.504729997417589615e-01 4.915114450586013234e-02
3.242424242424242486e-02 5.251609494987183879e-01 2.013484272048212398e-01 4.610537558426371779e-02
3.272727272727272985e-02 4.460524022459045335e-01 2.070492158542712735e-01 4.662227079594437329e-02
3.303030303030302789e-02 4.217261490503282917e-01 2.030632591179130086e-01 4.709607021543391753e-02
3.333333333333333287e-02 4.649429542305949514e-01 2.094853070478488455e-01 4.865399964941168054e-02
3.363636363636363785e-02 4.887381116679690995e-01 2.149240022374895309e-01 4.990153255781480668e-02
3.393939393939394283e-02 4.849280182918830340e-01 2.325727276464087945e-01 4.724167990309421222e-02
3.424242424242424088e-02 4.632359129928966812e-01 2.350316206653797202e-01 4.878172921818476476e-02
3.454545454545454586e-02 4.324704583716751372e-01 2.499934972841100222e-01 4.748147026918576180e-02
3.484848484848485084e-02 3.751264784281255205e-01 2.123112142694906501e-01 4.566889619949776602e-02
3.515151515151514888e-02 4.425043191691637734e-01 2.005927419556661484e-01 4.552693405814390443e-02
3.545454545454545386e-02 4.005089242263790705e-01 2.026793176014457243e-01 4.300610771955658967e-02
3.575757575757575885e-02 3.948600537104967612e-01 1.974816595125757912e-01 4.727927510800463556e-02
3.606060606060606383e-02 4.378371317428876308e-01 2.120881287917926739e-01 4.972817075299022782e-02
3.636363636363636187e-02 4.358328947479307991e-01 2.271998366104557576e-01 4.971273228843714476e-02
3.666666666666666685e-02 3.772038931436337839e-01 2.004968007178384304e-01 4.541840811566084934e-02
3.696969696969697183e-02 3.820928539573567595e-01 2.094395734337117787e-01 4.593842128754357240e-02
3.727272727272726988e-02 3.243789391067101735e-01 2.280476587835869318e-01 4.537168366995999319e-02
