# z, Alpha
3.000000000000000000e+02 2.571731644276204713e-03
3.025000000000000000e+02 6.184548446054106193e-04
3.050000000000000000e+02 1.584185947947471277e-03
3.075000000000000000e+02 -3.588360683089632675e-04
3.100000000000000000e+02 6.961107067343262275e-04
3.125000000000000000e+02 1.343626842529807965e-03
3.150000000000000000e+02 4.551192914556826882e-03
3.175000000000000000e+02 3.373800983481020730e-03
3.200000000000000000e+02 6.003558436677653223e-03
3.225000000000000000e+02 6.842505530449169426e-03
3.250000000000000000e+02 7.330138546118610335e-03
3.275000000000000000e+02 5.039301857264548781e-03
3.300000000000000000e+02 6.112561906568217060e-03
3.325000000000000000e+02 4.357309456193584826e-03
3.350000000000000000e+02 6.090623473433711375e-03
3.375000000000000000e+02 3.184365441686439358e-03
3.400000000000000000e+02 5.530721124952943553e-03
3.425000000000000000e+02 2.307679398876057164e-03
3.450000000000000000e+02 3.455366611208966331e-03
3.475000000000000000e+02 -5.034547762694221908e-04
3.500000000000000000e+02 7.329210998269402103e-04
3.525000000000000000e+02 -3.134724914271926587e-03
3.550000000000000000e+02 -9.121315353975766949e-04
3.575000000000000000e+02 -3.631722350733471768e-03
3.600000000000000000e+02 -1.105175429386413485e-03
3.625000000000000000e+02 -4.340060157592805744e-03
3.650000000000000000e+02 -2.625691457355283404e-04
3.675000000000000000e+02 -2.927256336837928252e-03
3.700000000000000000e+02 3.138433905597738904e-05
3.725000000000000000e+02 -2.480147625926423793e-03
3.750000000000000000e+02 -7.243770535172377404e-04
3.775000000000000000e+02 -3.761913292399781446e-03
3.800000000000000000e+02 1.107871393498544368e-03
3.825000000000000000e+02 -2.516164011296179257e-03
3.850000000000000000e+02 3.351352347416707966e-03
3.875000000000000000e+02 -1.116483448757747904e-03
3.900000000000000000e+02 5.489339463855367508e-03
3.925000000000000000e+02 1.518585344291194326e-03
3.950000000000000000e+02 5.956286425375594863e-03
3.975000000000000000e+02 5.797497114233626390e-05
4.000000000000000000e+02 6.777922370175225135e-03
4.025000000000000000e+02 6.445921941008913225e-04
