# Xi, RijLong, Xi, RijLat
2.863782463805517295e+02 -1.117145325945332951e-03 2.863782463805517295e+02 1.168653335615434065e-03
2.899137802864844957e+02 -9.493530098909262966e-04 2.899137802864844957e+02 -1.991885832576804037e-03
2.934493141924172050e+02 -4.486351943648799476e-04 2.934493141924172050e+02 -6.136986687646230846e-04
2.969848480983499712e+02 1.827749781532645172e-04 2.969848480983499712e+02 1.429786909615807537e-03
3.005203820042826806e+02 7.073267282945955130e-04 3.005203820042826806e+02 -8.799334885691039625e-04
3.040559159102154467e+02 1.005608033483049732e-03 3.040559159102154467e+02 -2.434716385193845967e-03
3.075914498161481561e+02 1.153482407923740738e-03 3.075914498161481561e+02 -3.808620274489248145e-03
3.111269837220809222e+02 1.281650114769916074e-03 3.111269837220809222e+02 -7.671383170368005662e-03
3.146625176280136316e+02 1.438554244811163620e-03 3.146625176280136316e+02 -6.938578451880116592e-03
3.181980515339463977e+02 1.596109354610123236e-03 3.181980515339463977e+02 -5.051756073046580198e-03
3.217335854398791071e+02 1.761121909546175179e-03 3.217335854398791071e+02 -1.345527862349850607e-03
3.252691193458118732e+02 2.024175349736220906e-03 3.252691193458118732e+02 -8.519577235654399606e-04
3.288046532517445826e+02 2.395879168001528552e-03 3.288046532517445826e+02 -1.759096303339156234e-03
3.323401871576773488e+02 2.694409217633720981e-03 3.323401871576773488e+02 -1.404550789786910203e-03
3.358757210636100581e+02 2.700015018588445941e-03 3.358757210636100581e+02 -2.881426257599945147e-03
3.394112549695428243e+02 2.382821051372777370e-03 3.394112549695428243e+02 -3.727481450607510443e-03
3.429467888754755336e+02 1.868102648716916080e-03 3.429467888754755336e+02 -2.431282652035482352e-03
3.464823227814082998e+02 1.212116243391893507e-03 3.464823227814082998e+02 1.312559066639133049e-03
3.500178566873410091e+02 3.739886613742162552e-04 3.500178566873410091e+02 5.767061355419206411e-04
3.535533905932737753e+02 -6.391572127813643662e-04 3.535533905932737753e+02 -2.885919329004133413e-05
3.570889244992064846e+02 -1.735658072974221450e-03 3.570889244992064846e+02 8.794141063812319688e-04
3.606244584051392508e+02 -2.881002129042381944e-03 3.606244584051392508e+02 2.574150199574245894e-03
3.641599923110719601e+02 -4.187327255947188159e-03 3.641599923110719601e+02 -1.401569599775475457e-03
3.676955262170047263e+02 -5.717561507401731219e-03 3.676955262170047263e+02 -7.020666818032437854e-03
3.712310601229374356e+02 -7.336418838167857968e-03 3.712310601229374356e+02 -5.498351465358469053e-03
3.747665940288702018e+02 -8.795190602308681702e-03 3.747665940288702018e+02 -3.226784278177808815e-03
3.783021279348029111e+02 -9.851339304661803353e-03 3.783021279348029111e+02 -4.513223821921941332e-03
3.818376618407356773e+02 -1.038985518106914918e-02 3.818376618407356773e+02 -2.599897040415966032e-03
3.853731957466683866e+02 -1.051586446846715546e-02 3.853731957466683866e+02 -1.826579239721751180e-03
3.889087296526011528e+02 -1.040683893891107548e-02 3.889087296526011528e+02 1.524091304967508049e-03
3.924442635585338621e+02 -1.011264055076935633e-02 3.924442635585338621e+02 -1.046283423994717656e-03
3.959797974644666283e+02 -9.598574927386731986e-03 3.959797974644666283e+02 -2.915077323462627202e-03
3.995153313703993376e+02 -8.885289910664126781e-03 3.995153313703993376e+02 1.915670480446518453e-05
4.030508652763321038e+02 -8.067586718549476718e-03 4.030508652763321038e+02 6.168241809705010106e-05
