# f, Suu, Svv, Sww
2.696969696969696989e-02 6.371375643317056525e-01 2.313849180043398845e-01 1.073120665038759108e-01
2.727272727272727140e-02 6.146841487805022597e-01 2.128616134872787224e-01 9.972366365160950652e-02
2.757575757575757638e-02 6.194737115249926429e-01 2.692001389975138825e-01 1.142422964445223288e-01
2.787878787878787790e-02 7.259354044323264032e-01 2.343428257913420243e-01 1.055754305277903093e-01
2.818181818181818288e-02 7.483295632002029407e-01 2.189425697060134735e-01 9.798320240080157784e-02
2.848484848484848439e-02 6.871445464617985666e-01 1.773345923877535646e-01 1.073806978505649906e-01
2.878787878787878937e-02 6.931815766137233714e-01 1.905974254274910296e-01 1.084201133799972960e-01
2.909090909090909088e-02 6.204098047008783645e-01 1.686984858813247445e-01 1.032922950011215535e-01
2.939393939393939240e-02 5.419042085959849819e-01 1.944457526913372092e-01 8.563568761604389845e-02
2.969696969696969738e-02 6.258390202515616840e-01 1.996640692610947565e-01 1.010889824120391189e-01
2.999999999999999889e-02 5.231306415102650043e-01 2.010813684766153131e-01 8.596009953611197241e-02
3.030303030303030387e-02 5.866310413805210233e-01 1.780833112304724686e-01 1.008338001772920572e-01
3.060606060606060538e-02 5.869965602233503388e-01 1.689758456989707280e-01 9.498636067919526138e-02
3.090909090909091037e-02 6.027030882492947494e-01 2.007126771020321665e-01 1.081114841647046187e-01
3.121212121212121188e-02 6.062293419605740974e-01 2.005935316995761941e-01 9.950555736323318801e-02
3.151515151515151686e-02 5.209290890141282659e-01 2.541914224443216352e-01 1.039285176887800033e-01
3.181818181818181490e-02 5.125002098883787438e-01 1.803483244029822075e-01 9.899896994147175389e-02
3.212121212121211988e-02 5.896117434589850381e-01 1.747572119782653255e-01 9.505270544132546351e-02
3.242424242424242486e-02 5.336241456809627248e-01 1.921097353281548126e-01 9.400375808641714404e-02
3.272727272727272985e-02 5.795249783031869439e-01 1.981692029833167779e-01 9.415026985401195314e-02
3.303030303030302789e-02 5.542372984065808694e-01 1.633565099487403194e-01 8.838513198359829182e-02
3.333333333333333287e-02 5.555796976917971586e-01 1.596059175052837176e-01 1.095767577553943273e-01
3.363636363636363785e-02 5.210560949248175255e-01 2.272122724700732788e-01 1.070271497916267800e-01
3.393939393939394283e-02 5.468354803230686123e-01 1.826645784776304016e-01 9.777771757899766936e-02
3.424242424242424088e-02 5.254396788361621606e-01 1.751875400273430750e-01 9.937638120617978132e-02
3.454545454545454586e-02 6.289845407900728214e-01 2.277626471107753181e-01 1.225328594506985003e-01
3.484848484848485084e-02 6.499592191302934197e-01 2.039878864221458810e-01 1.195172314970279204e-01
3.515151515151514888e-02 4.498956934856417345e-01 2.078716780759446159e-01 9.654521731642004556e-02
3.545454545454545386e-02 5.490604098132602084e-01 1.822268072051010102e-01 1.066619116599530487e-01
3.575757575757575885e-02 4.667369898616753332e-01 1.910710160066096397e-01 1.068416343885217334e-01
3.606060606060606383e-02 5.433660460644587076e-01 2.152638334851134372e-01 1.053110717871306723e-01
3.636363636363636187e-02 4.927221435343917544e-01 1.773590185625701088e-01 1.111124823759592345e-01
3.666666666666666685e-02 5.646394640440921542e-01 2.324903447023097536e-01 9.271892972160619695e-02
3.696969696969697183e-02 5.006111585204450209e-01 2.281258963168550091e-01 1.022944589285016970e-01
3.727272727272726988e-02 6.112165248846797017e-01 1.677395675290372645e-01 1.153694190791555024e-01
3.757575757575757486e-02 5.184865820888029386e-01 1.684751969818870376e-01 8.260883507953560578e-02
3.787878787878787984e-02 4.860510228929394994e-01 2.005310319680319864e-01 9.161979132598116471e-02
3.818181818181818482e-02 4.246161066948836993e-01 1.818909330061518892e-01 1.119939519804182132e-01
3.848484848484848286e-02 4.477227008256005059e-01 1.846743277492661761e-01 9.568852132929837884e-02
3.878787878787878785e-02 5.221804948911152877e-01 1.794836025017120529e-01 1.226499723172704420e-01
3.909090909090909283e-02 5.349876052111927072e-01 1.788007254220976283e-01 1.105261483014030599e-01
3.939393939393939087e-02 5.332961981633672632e-01 2.168184683612614516e-01 1.214943895736516621e-01
3.969696969696969585e-02 5.351505895061930973e-01 2.017078531546956099e-01 1.160127686414674647e-01
4.000000000000000083e-02 6.613164905439311569e-01 1.925442082703459346e-01 1.024860740047026791e-01
4.030303030303030581e-02 5.979148177646184115e-01 2.078373423536034881e-01 1.087878048449892471e-01
4.060606060606060386e-02 5.309015752420057632e-01 1.730984997689674343e-01 8.619444376387307150e-02
4.090909090909090884e-02 4.974778311664247998e-01 1.906897092309890185e-01 9.717384335688188102e-02
4.121212121212121382e-02 4.509764062616609670e-01 1.998944844301501489e-01 8.499573770930796135e-02
4.151515151515151186e-02 4.918791227642897446e-01 2.191949704433887314e-01 8.864450855232205995e-02
4.181818181818181684e-02 5.802619314970496323e-01 2.095008755084139529e-01 1.150923477083447971e-01
4.212121212121212183e-02 4.675099568812969841e-01 2.405302453733929313e-01 1.091272107263850794e-01
4.242424242424242681e-02 3.630541625472065714e-01 1.803844506885708132e-01 1.165831308496041996e-01
4.272727272727272485e-02 4.349169966086238182e-01 1.610451763623289012e-01 8.136068868348879379e-02
4.303030303030302983e-02 4.292611781772774915e-01 1.581655550587390546e-01 8.688531794726311874e-02
4.333333333333333481e-02 3.752329999054594967e-01 1.880698828974493031e-01 8.926336908933549252e-02
4.363636363636363980e-02 4.441912778059710076e-01 2.238013705063074399e-01 1.049270647354036273e-01
4.393939393939393784e-02 5.020451667440093413e-01 1.876556893380103008e-01 9.280961676518756365e-02
4.424242424242424282e-02 4.677521436192378923e-01 2.172236337237523074e-01 1.142856143175603051e-01
4.454545454545454780e-02 5.271416286727660383e-01 1.741590716933814342e-01 1.036770228346412387e-01
4.484848484848484584e-02 4.548253249665511477e-01 1.737419113787399549e-01 1.054759514877684351e-01
4.515151515151515083e-02 4.541763832880798546e-01 1.721894198221902983e-01 1.019561929745527173e-01
4.545454545454545581e-02 4.171645695394373687e-01 1.714532556099863381e-01 1.057553781271576981e-01
4.575757575757576079e-02 4.873435901484604038e-01 1.733356027507599872e-01 1.220793729735210470e-01
4.606060606060605883e-02 4.919117738607834966e-01 2.132981447060764146e-01 1.115407547075898953e-01
4.636363636363636381e-02 4.576536132513683297e-01 1.981415085048182645e-01 9.366517135441979058e-02
4.666666666666666879e-02 4.852643173629493378e-01 1.779422759584349534e-01 1.043192287041215943e-01
4.696969696969696684e-02 3.896663938874214139e-01 2.105686319055679601e-01 8.587870818608153711e-02
4.727272727272727182e-02 4.498968176418710052e-01 2.158823694977116125e-01 1.046784073721214875e-01
4.757575757575757680e-02 4.461808884155997190e-01 1.861099743923595451e-01 1.109548606864208392e-01
4.787878787878788178e-02 4.942888887742928339e-01 2.254466845225594762e-01 9.504201141447950196e-02
4.818181818181817982e-02 5.298416735163389291e-01 1.742900327988493037e-01 9.538255869071250725e-02
4.848484848484848481e-02 4.335377781769447214e-01 1.900387343042276300e-01 1.061368741779096375e-01
4.878787878787878979e-02 4.176893207633000094e-01 2.080564247635939834e-01 1.069679988221971800e-01
