z Tu Tv Tw
1.275000000000000000e+02 2.245961184863926420e-07 9.006199020075367030e-08 -2.444997097435979975e-05
1.300000000000000000e+02 2.116300015481977119e-07 8.474600218991498155e-08 -2.336469020723539198e-05
1.325000000000000000e+02 2.086033561606888994e-07 8.084848395438628897e-08 -2.239405574106372132e-05
1.350000000000000000e+02 2.004048597724971365e-07 7.610016344544694627e-08 -2.144157254291784105e-05
1.375000000000000000e+02 1.886416478665750489e-07 7.180519459054859387e-08 -2.049166505789136116e-05
1.400000000000000000e+02 1.798124904366380460e-07 6.882538638765813435e-08 -1.955490668088296011e-05
1.425000000000000000e+02 1.697137350111249556e-07 6.375731301238189150e-08 -1.858140847324109206e-05
1.450000000000000000e+02 1.561799509732734045e-07 6.170663858666148618e-08 -1.756699448563772085e-05
1.475000000000000000e+02 1.432902653317978301e-07 6.674365073171158820e-08 -1.654394675502351744e-05
1.500000000000000000e+02 1.296914876665241773e-07 6.851306157436221114e-08 -1.557094474848515716e-05
1.525000000000000000e+02 1.169910747092013330e-07 6.621751043776010065e-08 -1.474547515891578448e-05
1.550000000000000000e+02 1.089912356439434096e-07 6.641883949907803855e-08 -1.404869263646476934e-05
1.575000000000000000e+02 1.045978738174911352e-07 6.293331510433717726e-08 -1.334321346336140675e-05
1.600000000000000000e+02 1.004765836011258656e-07 5.503416080609962319e-08 -1.265068444390776548e-05
1.625000000000000000e+02 9.920303660742077631e-08 4.968871433970317621e-08 -1.202819242189528568e-05
1.650000000000000000e+02 9.714391143582631838e-08 4.860897083130087105e-08 -1.139523693778291618e-05
1.675000000000000000e+02 9.207685727527332858e-08 4.519868170362848340e-08 -1.074900940370458767e-05
1.700000000000000000e+02 8.656424409574822563e-08 4.275280375098989884e-08 -1.013692639832290053e-05
1.725000000000000000e+02 8.235979594052076953e-08 3.869508290718600752e-08 -9.524067375771151425e-06
1.750000000000000000e+02 7.759681177859345861e-08 3.460132924998819763e-08 -8.966783538726395613e-06
1.775000000000000000e+02 7.341724566800823607e-08 3.128082445302911070e-08 -8.501402004977275806e-06
1.800000000000000000e+02 6.963395449763926004e-08 3.011051880985871200e-08 -8.074686732911821334e-06
1.825000000000000000e+02 6.523536308372790459e-08 3.188746016203337343e-08 -7.678818191686982356e-06
1.850000000000000000e+02 6.161528646027447887e-08 3.384841196844111283e-08 -7.280964276724564526e-06
1.875000000000000000e+02 5.826852220091185122e-08 3.214412185462898192e-08 -6.845696728796736493e-06
1.900000000000000000e+02 5.347059598601064845e-08 2.932505014237784645e-08 -6.404624177245092779e-06
1.925000000000000000e+02 4.953697156403912327e-08 2.752519939496503169e-08 -5.996637214558283651e-06
1.950000000000000000e+02 4.600295709564374557e-08 2.649428427359327986e-08 -5.588682724510638016e-06
1.975000000000000000e+02 4.236846469094314009e-08 2.765336777419951636e-08 -5.209845520546675517e-06
2.000000000000000000e+02 4.190928499416008151e-08 2.752580295599604730e-08 -4.893057064512972363e-06
2.025000000000000000e+02 4.254397828409312328e-08 2.428224797849363656e-08 -4.601230623896429267e-06
2.050000000000000000e+02 4.150608891397942989e-08 2.211711162848209956e-08 -4.310736789819448914e-06
2.075000000000000000e+02 3.867600207658067460e-08 2.137975013879388560e-08 -4.042544701023632318e-06
2.100000000000000000e+02 3.447568588656741530e-08 2.221720447930832218e-08 -3.794626641775748802e-06
2.125000000000000000e+02 3.135600543348957647e-08 2.111617989423124710e-08 -3.542291701692060878e-06
2.150000000000000000e+02 2.814450145437154263e-08 1.937500951419833800e-08 -3.288474067454179484e-06
