# Xi, RijLong, Xi, RijLat
1.343502884254440232e+03 -9.419494646632076140e-02 1.343502884254440232e+03 -2.538937122594924455e-03
1.378858223313767667e+03 -9.196402048342097735e-02 1.378858223313767667e+03 4.533620680146157635e-03
1.414213562373095101e+03 -9.109410955923467890e-02 1.414213562373095101e+03 3.743415247320431866e-03
1.449568901432422535e+03 -9.214777014967083513e-02 1.449568901432422535e+03 -3.309107511141631992e-03
1.484924240491749742e+03 -9.160744689951434705e-02 1.484924240491749742e+03 -8.043018250536104969e-04
1.520279579551077177e+03 -9.382375628930497702e-02 1.520279579551077177e+03 -8.203129921079341247e-03
1.555634918610404611e+03 -9.207061168051511313e-02 1.555634918610404611e+03 -1.319954732509471922e-02
1.590990257669731818e+03 -9.078076501581675006e-02 1.590990257669731818e+03 -1.910370851309222198e-02
1.626345596729059253e+03 -8.792787805567754689e-02 1.626345596729059253e+03 -1.292641949151378429e-02
1.661700935788386687e+03 -8.398710684901587731e-02 1.661700935788386687e+03 -1.420822809589342324e-02
1.697056274847714121e+03 -7.854250169684300065e-02 1.697056274847714121e+03 -2.041103944387694796e-02
1.732411613907041328e+03 -7.310018925914507637e-02 1.732411613907041328e+03 -2.318658183223024430e-02
1.767766952966368763e+03 -6.745783863618354248e-02 1.767766952966368763e+03 -2.600163324981810339e-02
1.803122292025696197e+03 -6.307658671650166748e-02 1.803122292025696197e+03 -2.424320650747815997e-02
1.838477631085023631e+03 -6.053520753515550384e-02 1.838477631085023631e+03 -2.479696420622309883e-02
1.873832970144350838e+03 -5.746462318444138517e-02 1.873832970144350838e+03 -2.483235799770554600e-02
1.909188309203678273e+03 -5.658914730094181250e-02 1.909188309203678273e+03 -1.952377007191276326e-02
1.944543648263005707e+03 -5.211323313851323746e-02 1.944543648263005707e+03 -1.091527731410955361e-02
1.979898987322333141e+03 -4.710235223563939005e-02 1.979898987322333141e+03 -5.387804380191820244e-03
2.015254326381660348e+03 -4.229606939442912689e-02 2.015254326381660348e+03 -1.430708963782635623e-02
2.050609665440988010e+03 -3.677763941244544671e-02 2.050609665440988010e+03 -1.654446956013473982e-02
2.085965004500314990e+03 -3.315988238147063449e-02 2.085965004500314990e+03 -1.590868561322252711e-02
2.121320343559642424e+03 -2.971177583881031911e-02 2.121320343559642424e+03 -1.749482237186267275e-02
2.156675682618969859e+03 -2.542238165990725815e-02 2.156675682618969859e+03 -1.421150476974372516e-02
