# z, TI
3.180000000000000000e+02 5.822593687582538688e-03
3.240000000000000000e+02 5.653879821898650376e-03
3.300000000000000000e+02 5.478531901038778337e-03
3.360000000000000000e+02 5.285802198164058115e-03
3.420000000000000000e+02 5.120464177002937399e-03
3.480000000000000000e+02 4.983825081835441088e-03
3.540000000000000000e+02 4.840563184473058340e-03
3.600000000000000000e+02 4.712541534055872221e-03
3.660000000000000000e+02 4.587661010196798089e-03
3.720000000000000000e+02 4.494316189667140436e-03
3.780000000000000000e+02 4.411066994119028362e-03
3.840000000000000000e+02 4.320549350083266113e-03
3.900000000000000000e+02 4.222318429170810079e-03
3.960000000000000000e+02 4.136527023856871425e-03
4.020000000000000000e+02 4.059004461372190189e-03
4.080000000000000000e+02 3.983900154309909757e-03
4.140000000000000000e+02 3.901457678260384591e-03
4.200000000000000000e+02 3.808970608222889218e-03
4.260000000000000000e+02 3.710613298528380594e-03
4.320000000000000000e+02 3.602675952743990533e-03
4.380000000000000000e+02 3.517438748926309759e-03
4.440000000000000000e+02 3.438958277673361506e-03
4.500000000000000000e+02 3.363101128887740175e-03
4.560000000000000000e+02 3.295172859668919676e-03
4.620000000000000000e+02 3.214648334871104442e-03
4.680000000000000000e+02 3.127160254788597261e-03
4.740000000000000000e+02 3.054926924560079447e-03
4.800000000000000000e+02 2.988242333840645127e-03
4.860000000000000000e+02 2.902274576300728753e-03
4.920000000000000000e+02 2.822155065910966158e-03
4.980000000000000000e+02 2.749888208115070561e-03
5.040000000000000000e+02 2.677578275186127260e-03
5.100000000000000000e+02 2.591957378251262979e-03
5.160000000000000000e+02 2.483416378078606192e-03
5.220000000000000000e+02 2.378018073111502501e-03
5.280000000000000000e+02 2.278650177759431860e-03
5.340000000000000000e+02 2.186883729583581192e-03
5.400000000000000000e+02 2.079453044061900600e-03
5.460000000000000000e+02 1.971460712377157230e-03
5.520000000000000000e+02 1.857094819246024207e-03
5.580000000000000000e+02 1.761358024739569095e-03
5.640000000000000000e+02 1.669250512646955212e-03
5.700000000000000000e+02 1.622179286784318801e-03
5.760000000000000000e+02 1.557298728793195426e-03
5.820000000000000000e+02 1.583245156571864683e-03
5.880000000000000000e+02 1.529364519622142043e-03
5.940000000000000000e+02 1.629010241968979755e-03
6.000000000000000000e+02 1.574475238561755079e-03
6.060000000000000000e+02 1.715499000666641108e-03
6.120000000000000000e+02 1.697767144126182976e-03
6.180000000000000000e+02 1.887944312568901658e-03
6.240000000000000000e+02 1.840366593444791535e-03
6.300000000000000000e+02 2.050899492619211173e-03
6.360000000000000000e+02 2.085422874006002091e-03
6.420000000000000000e+02 2.242043581200316594e-03
6.480000000000000000e+02 2.342413251549950361e-03
6.540000000000000000e+02 2.454725038909581335e-03
6.600000000000000000e+02 2.548330652947092354e-03
6.660000000000000000e+02 2.709902814578567503e-03
6.720000000000000000e+02 2.789339651723453904e-03
6.780000000000000000e+02 2.899782349575148396e-03
6.840000000000000000e+02 2.958151727189279288e-03
6.900000000000000000e+02 3.096553992613918730e-03
6.960000000000000000e+02 3.133927891506720770e-03
7.020000000000000000e+02 3.265215196301468267e-03
7.080000000000000000e+02 3.255531758640601604e-03
7.140000000000000000e+02 3.372260159907131127e-03
7.200000000000000000e+02 3.361266621689714806e-03
7.260000000000000000e+02 3.468471381695425581e-03
7.320000000000000000e+02 3.483050969682553559e-03
7.380000000000000000e+02 3.575366222045329133e-03
7.440000000000000000e+02 3.576597562371620562e-03
7.500000000000000000e+02 3.651930894754745402e-03
7.560000000000000000e+02 3.720461305575697986e-03
7.620000000000000000e+02 3.871861350507201267e-03
7.680000000000000000e+02 3.882080097221721985e-03
7.740000000000000000e+02 4.049000406506342992e-03
7.800000000000000000e+02 3.990054954197030240e-03
7.860000000000000000e+02 4.122711481487822092e-03
7.920000000000000000e+02 4.024380291607468352e-03
7.980000000000000000e+02 4.148234239262139390e-03
8.040000000000000000e+02 4.054598942023445764e-03
8.100000000000000000e+02 4.150791914436606327e-03
8.160000000000000000e+02 4.102912191870222193e-03
8.220000000000000000e+02 4.133382528604794166e-03
8.280000000000000000e+02 4.132317719243303739e-03
8.340000000000000000e+02 4.120217964669169869e-03
8.400000000000000000e+02 4.133474572458530061e-03
8.460000000000000000e+02 4.106030995748852393e-03
8.520000000000000000e+02 4.118135412166851195e-03
8.580000000000000000e+02 4.084986991584550232e-03
