 z u v w u_mag
3.300000000000000000e+02 1.621640105111405461e+01 9.039436231089842622e+00 -2.713540229014231803e-04 1.856564220543274857e+01
3.360000000000000000e+02 1.626906939840592159e+01 9.017773527785729826e+00 2.982747230704464649e-04 1.860115207662011727e+01
3.420000000000000000e+02 1.631927695335813056e+01 8.996646063150890882e+00 -3.214233868192452976e-04 1.863487163275688374e+01
3.480000000000000000e+02 1.636614669582974457e+01 8.975676274601607219e+00 3.508750204438438876e-04 1.866583837867933227e+01
3.540000000000000000e+02 1.641009233580222570e+01 8.955019722201944532e+00 -3.775129501735455164e-04 1.869447803061365931e+01
3.600000000000000000e+02 1.645305615890060125e+01 8.934802608117252021e+00 4.099344469740353485e-04 1.872254669594930121e+01
3.660000000000000000e+02 1.649419442386838952e+01 8.915194143382715097e+00 -4.404495475496335473e-04 1.874937696299726042e+01
3.720000000000000000e+02 1.653280624605319460e+01 8.896667179674908610e+00 4.765758785737867712e-04 1.877456709228111364e+01
3.780000000000000000e+02 1.656988477748994271e+01 8.879131879014853013e+00 -5.116434475750492820e-04 1.879893786164552694e+01
3.840000000000000000e+02 1.660597146309612526e+01 8.862251753837846024e+00 5.518230580196026910e-04 1.882279986309352182e+01
3.900000000000000000e+02 1.664056514431568345e+01 8.845681876156310963e+00 -5.914353446252511521e-04 1.884554314755003190e+01
3.960000000000000000e+02 1.667354840478395772e+01 8.829544373535586743e+00 6.360426119284538380e-04 1.886711611920215503e+01
4.020000000000000000e+02 1.670418790839678280e+01 8.813879530225440462e+00 -6.807835423068755304e-04 1.888688345163972571e+01
4.080000000000000000e+02 1.673296538044615644e+01 8.798735754314916946e+00 7.302946937681627487e-04 1.890528713960197038e+01
4.140000000000000000e+02 1.676003016226975717e+01 8.784298315743631846e+00 -7.806750886528145703e-04 1.892253969607732245e+01
4.200000000000000000e+02 1.678608555555453918e+01 8.770865198707809895e+00 8.358398566364724823e-04 1.893939664590529404e+01
4.260000000000000000e+02 1.681155998646750760e+01 8.758400874878097042e+00 -8.926842355430729273e-04 1.895621628544435922e+01
4.320000000000000000e+02 1.683523324550079536e+01 8.746365805967426965e+00 9.543673049283053897e-04 1.897166292534812015e+01
4.380000000000000000e+02 1.685718287703542018e+01 8.734668524076063534e+00 -1.018068078062320941e-03 1.898575913182730446e+01
4.440000000000000000e+02 1.687788178028407415e+01 8.723449665491958882e+00 1.086860644433445449e-03 1.899898598970174035e+01
4.500000000000000000e+02 1.689814924324452861e+01 8.713034437883923289e+00 -1.157833630514966666e-03 1.901221760614199141e+01
4.560000000000000000e+02 1.691740123413597985e+01 8.702998893444030770e+00 1.233624538255047743e-03 1.902473799498597629e+01
4.620000000000000000e+02 1.693615817597751771e+01 8.693423926175935179e+00 -1.312272385032893117e-03 1.903704480858300485e+01
4.680000000000000000e+02 1.695406039414834609e+01 8.684357802312799635e+00 1.395945497917550938e-03 1.904883818598091239e+01
4.740000000000000000e+02 1.697109633056277644e+01 8.675690290060970256e+00 -1.483053828243666595e-03 1.906005547918861964e+01
